
2025/04/05 (20:13:33) | ===> btop++ v.1.4.0
2025/04/05 (20:13:33) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/09 (20:11:41) | ===> btop++ v.1.4.0
2025/04/09 (20:11:41) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/10 (21:32:40) | ===> btop++ v.1.4.0
2025/04/10 (21:32:40) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/10 (21:33:33) | ===> btop++ v.1.4.0
2025/04/10 (21:33:33) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/10 (21:35:24) | ===> btop++ v.1.4.0
2025/04/10 (21:35:24) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/14 (16:54:29) | ===> btop++ v.1.4.0
2025/04/14 (16:54:29) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/16 (09:56:05) | ===> btop++ v.1.4.0
2025/04/16 (09:56:05) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/16 (09:57:00) | ===> btop++ v.1.4.0
2025/04/16 (09:57:00) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/16 (14:21:39) | ===> btop++ v.1.4.0
2025/04/16 (14:21:39) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/19 (17:58:21) | ===> btop++ v.1.4.0
2025/04/19 (17:58:21) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/19 (18:19:36) | ===> btop++ v.1.4.0
2025/04/19 (18:19:36) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/22 (08:10:27) | ===> btop++ v.1.4.0
2025/04/22 (08:10:27) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/27 (12:42:12) | ===> btop++ v.1.4.0
2025/04/27 (12:42:12) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/27 (12:42:47) | ===> btop++ v.1.4.0
2025/04/27 (12:42:47) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/28 (11:34:09) | ===> btop++ v.1.4.0
2025/04/28 (11:34:09) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/28 (12:35:26) | ===> btop++ v.1.4.0
2025/04/28 (12:35:26) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/30 (15:29:04) | ===> btop++ v.1.4.0
2025/04/30 (15:29:04) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/30 (20:07:48) | ===> btop++ v.1.4.0
2025/04/30 (20:07:48) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/30 (20:08:08) | ===> btop++ v.1.4.0
2025/04/30 (20:08:08) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/05/01 (14:46:19) | ===> btop++ v.1.4.0
2025/05/01 (14:46:19) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/05/03 (15:38:19) | ===> btop++ v.1.4.0
2025/05/03 (15:38:19) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/05/18 (12:06:29) | ===> btop++ v.1.4.0
2025/05/18 (12:06:29) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/05/23 (08:41:20) | ===> btop++ v.1.4.0
2025/05/23 (08:41:20) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/06/10 (00:46:26) | ===> btop++ v.1.4.0
2025/06/10 (00:46:26) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/06/10 (00:48:00) | ===> btop++ v.1.4.0
2025/06/10 (00:48:00) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/06/10 (22:39:15) | ===> btop++ v.1.4.0
2025/06/10 (22:39:15) | WARNING: Failed to set locale UTF-8 continuing anyway.
